objects,flights,depth,unique_assets,threaded,changes,views,tick_median_ms,tick_p95_ms,lifecycle_median_ms,lifecycle_p95_ms,collect_seal_median_ms,collect_seal_p95_ms,apply_median_ms,apply_p95_ms,view_median_ms,view_p95_ms,retirement_median_ms,retirement_p95_ms,allocations_7_samples,allocated_bytes_7_samples,gathers_warmup_and_7_samples,matrix_evaluations_warmup_and_7_samples
10000,3,1,false,true,0,1,0.066700,0.087700,0.000100,0.000200,0.000100,0.000200,0.000600,0.000600,0.041300,0.048100,0.000200,0.000200,0,0,0,0
10000,3,1,false,true,0,3,0.066700,0.068300,0.000100,0.000300,0.000200,0.000200,0.000500,0.000600,0.122900,0.145600,0.000200,0.000200,0,0,0,0
10000,3,1,false,true,1,1,0.066800,0.075600,0.000100,0.000100,0.000400,0.000400,0.000300,0.000400,0.041600,0.046400,0.000200,0.000200,0,0,11,11
10000,3,1,false,true,1,3,0.085500,0.123300,0.000200,0.000500,0.000500,0.001700,0.000300,0.000300,0.152200,0.435700,0.000200,0.000500,0,0,11,11
10000,3,1,false,true,100,1,0.069100,0.078200,0.000100,0.000200,0.008600,0.008800,0.001900,0.002200,0.041100,0.043300,0.000100,0.000200,0,0,1100,1100
10000,3,1,false,true,100,3,0.067600,0.077600,0.000100,0.000300,0.008600,0.009300,0.001900,0.002200,0.124100,0.149600,0.000200,0.000200,0,0,1100,1100
10000,3,1,false,true,10000,1,0.217100,0.302700,0.000400,0.000600,0.885700,1.083900,0.188200,0.261200,0.048500,0.061000,0.000600,0.000800,0,0,110000,110000
10000,3,1,false,true,10000,3,0.220300,0.346300,0.000400,0.000600,0.896300,0.924200,0.183400,0.239700,0.128600,0.141100,0.000500,0.000500,0,0,110000,110000
10000,3,1,true,false,0,1,0.068500,0.068700,0.000100,0.000100,0.000100,0.000200,0.000100,0.000100,0.045800,0.046600,0.000100,0.000200,0,0,0,0
10000,3,1,true,false,0,3,0.068400,0.069300,0.000000,0.000100,0.000100,0.000100,0.000100,0.000100,0.137700,0.209000,0.000100,0.000200,0,0,0,0
10000,3,1,true,false,1,1,0.068700,0.082700,0.000000,0.000100,0.000400,0.000400,0.000100,0.000100,0.045900,0.046100,0.000100,0.000100,0,0,11,11
10000,3,1,true,false,1,3,0.069600,0.099600,0.000100,0.000200,0.000300,0.000300,0.000100,0.000200,0.139000,0.194400,0.000100,0.000200,0,0,11,11
10000,3,1,true,false,100,1,0.069700,0.085800,0.000100,0.000100,0.008300,0.008600,0.001600,0.001700,0.045800,0.059200,0.000100,0.000200,0,0,1100,1100
10000,3,1,true,false,100,3,0.069400,0.070100,0.000100,0.000100,0.008200,0.008500,0.001700,0.001700,0.137400,0.138000,0.000100,0.000200,0,0,1100,1100
10000,3,1,true,false,10000,1,0.215500,0.315400,0.000200,0.000300,0.865700,0.968100,0.183600,0.234600,0.052200,0.088600,0.000200,0.000700,0,0,110000,110000
10000,3,1,true,false,10000,3,0.213100,0.228900,0.000200,0.000200,0.901800,1.040600,0.182100,0.207900,0.142300,0.189000,0.000100,0.000400,0,0,110000,110000
10000,3,1,true,true,0,1,0.068100,0.082100,0.000400,0.000400,0.000300,0.000300,0.000400,0.000400,0.052600,0.057600,0.000400,0.000500,0,0,0,0
10000,3,1,true,true,0,3,0.072800,0.119800,0.000400,0.000400,0.000300,0.000400,0.000400,0.000400,0.146500,0.170500,0.000500,0.000500,0,0,0,0
